filename,label
0,forest
1,forest
2,buildings
3,sea
4,street
5,glacier
6,buildings
7,sea
8,glacier
9,glacier
10,street
11,mountain
12,glacier
13,sea
14,mountain
15,mountain
16,street
17,mountain
18,buildings
19,sea
20,forest
21,street
22,glacier
23,glacier
24,sea
25,glacier
26,buildings
27,street
28,street
29,buildings
30,mountain
31,buildings
32,forest
33,mountain
34,mountain
35,mountain
36,forest
37,street
38,sea
39,mountain
40,glacier
41,glacier
42,sea
43,glacier
44,mountain
45,mountain
46,forest
47,sea
48,sea
49,buildings
50,buildings
51,glacier
52,mountain
53,mountain
54,street
55,sea
56,buildings
57,forest
58,buildings
59,mountain
60,street
61,buildings
62,glacier
63,mountain
64,sea
65,street
66,sea
67,glacier
68,mountain
69,glacier
70,street
71,buildings
72,sea
73,sea
74,mountain
75,sea
76,buildings
77,forest
78,mountain
79,mountain
80,mountain
81,forest
82,mountain
83,buildings
84,forest
85,mountain
86,glacier
87,mountain
88,street
89,street
90,forest
91,forest
92,street
93,glacier
94,mountain
95,buildings
96,forest
97,glacier
98,street
99,forest
100,buildings
101,street
102,sea
103,glacier
104,sea
105,glacier
106,forest
107,buildings
108,street
109,forest
110,sea
111,glacier
112,street
113,glacier
114,street
115,sea
116,street
117,glacier
118,glacier
119,mountain
120,glacier
121,glacier
122,buildings
123,forest
124,sea
125,forest
126,street
127,street
128,forest
129,buildings
130,glacier
131,buildings
132,buildings
133,sea
134,street
135,mountain
136,forest
137,sea
138,glacier
139,mountain
140,buildings
141,glacier
142,mountain
143,street
144,glacier
145,street
146,glacier
147,buildings
148,glacier
149,glacier
150,glacier
151,street
152,street
153,sea
154,mountain
155,glacier
156,sea
157,sea
158,forest
159,sea
160,glacier
161,sea
162,street
163,street
164,forest
165,street
166,forest
167,buildings
168,sea
169,glacier
170,sea
171,mountain
172,glacier
173,buildings
174,forest
175,glacier
176,sea
177,sea
178,sea
179,mountain
180,street
181,sea
182,mountain
183,sea
184,forest
185,buildings
186,forest
187,glacier
188,forest
189,mountain
190,mountain
191,sea
192,mountain
193,glacier
194,sea
195,sea
196,street
197,forest
198,street
199,sea
200,street
201,mountain
202,forest
203,street
204,glacier
205,sea
206,mountain
207,sea
208,buildings
209,sea
210,buildings
211,buildings
212,mountain
213,street
214,mountain
215,buildings
216,forest
217,glacier
218,mountain
219,glacier
220,buildings
221,glacier
222,sea
223,glacier
224,sea
225,mountain
226,mountain
227,glacier
228,mountain
229,street
230,street
231,glacier
232,sea
233,street
234,buildings
235,buildings
236,forest
237,glacier
238,forest
239,mountain
240,street
241,forest
242,mountain
243,street
244,sea
245,mountain
246,sea
247,sea
248,sea
249,forest
250,buildings
251,glacier
252,sea
253,buildings
254,street
255,buildings
256,buildings
257,glacier
258,street
259,street
260,buildings
261,forest
262,sea
263,forest
264,sea
265,buildings
266,forest
267,mountain
268,street
269,glacier
270,forest
271,forest
272,buildings
273,street
274,mountain
275,street
276,forest
277,glacier
278,forest
279,glacier
280,glacier
281,sea
282,buildings
283,buildings
284,glacier
285,sea
286,forest
287,mountain
288,street
289,forest
290,street
291,glacier
292,glacier
293,mountain
294,glacier
295,glacier
296,glacier
297,sea
298,mountain
299,glacier
300,mountain
301,sea
302,mountain
303,sea
304,glacier
305,mountain
306,street
307,forest
308,street
309,buildings
310,mountain
311,forest
312,buildings
313,mountain
314,buildings
315,street
316,glacier
317,street
318,sea
319,sea
320,mountain
321,mountain
322,forest
323,buildings
324,sea
325,mountain
326,sea
327,glacier
328,street
329,mountain
330,sea
331,glacier
332,glacier
333,mountain
334,sea
335,glacier
336,buildings
337,buildings
338,buildings
339,sea
340,forest
341,forest
342,glacier
343,sea
344,mountain
345,buildings
346,sea
347,forest
348,mountain
349,forest
350,buildings
351,forest
352,glacier
353,mountain
354,street
355,street
356,forest
357,mountain
358,mountain
359,sea
360,mountain
361,forest
362,glacier
363,forest
364,forest
365,street
366,glacier
367,glacier
368,buildings
369,sea
370,mountain
371,glacier
372,mountain
373,glacier
374,mountain
375,sea
376,street
377,forest
378,sea
379,sea
380,glacier
381,mountain
382,buildings
383,street
384,street
385,sea
386,forest
387,forest
388,mountain
389,street
390,sea
391,sea
392,buildings
393,glacier
394,sea
395,sea
396,buildings
397,sea
398,street
399,glacier
400,forest
401,sea
402,buildings
403,sea
404,forest
405,mountain
406,buildings
407,buildings
408,sea
409,glacier
410,sea
411,sea
412,sea
413,sea
414,glacier
415,glacier
416,mountain
417,glacier
418,sea
419,street
420,forest
421,forest
422,forest
423,mountain
424,sea
425,mountain
426,street
427,buildings
428,glacier
429,forest
430,buildings
431,buildings
432,mountain
433,glacier
434,mountain
435,forest
436,street
437,forest
438,sea
439,mountain
440,mountain
441,street
442,mountain
443,forest
444,forest
445,sea
446,mountain
