0,44
1,37
2,15
3,45
4,9
5,16
6,5
7,24
8,16
9,10
10,8
11,3
12,44
13,21
14,18
15,9
16,1
17,1
18,1
19,1
20,36
21,35
22,17
23,14
24,35
25,36
26,23
27,30
28,3
29,3
30,8
31,21
32,46
33,31
34,14
35,3
36,39
37,35
38,12
39,10
40,6
41,10
42,28
43,24
44,4
45,31
46,1
47,16
48,1
49,34
50,3
51,32
52,26
53,3
54,1
55,14
56,21
57,28
58,17
59,19
60,16
61,36
62,30
63,47
64,15
65,45
66,28
67,11
68,14
69,0
70,26
71,8
72,30
73,32
74,7
75,4
76,17
77,10
78,23
79,21
80,3
81,24
82,14
83,19
84,1
85,38
86,3
87,10
88,17
89,1
90,6
91,28
92,32
93,8
94,40
95,1
96,14
97,32
98,42
99,19
100,1
101,46
102,3
103,16
104,3
105,1
106,39
107,10
108,11
109,40
110,8
111,3
112,4
113,21
114,2
115,16
116,16
117,3
118,11
119,11
120,3
121,27
122,3
123,43
124,15
125,9
126,22
127,2
128,28
129,44
130,17
131,31
132,3
133,28
134,6
135,11
136,3
137,10
138,13
139,4
140,32
141,19
142,1
143,16
144,8
145,2
146,21
147,10
148,42
149,11
150,15
151,16
152,19
153,25
154,26
155,3
156,11
157,8
158,10
159,3
160,41
161,14
162,32
163,32
164,1
165,40
166,31
167,17
168,8
169,30
170,34
171,18
172,13
173,1
174,3
175,1
176,31
177,3
178,1
179,8
180,36
181,1
182,35
183,3
184,38
185,16
186,20
187,3
188,29
189,3
190,3
191,44
192,1
193,8
194,16
195,9
196,36
197,7
198,2
199,3
200,11
201,24
202,33
203,8
204,1
205,32
206,3
207,28
208,28
209,43
210,28
211,17
212,1
213,47
214,27
215,36
216,0
217,1
218,28
219,21
220,1
221,2
222,17
223,6
224,3
225,4
226,3
227,3
228,3
229,3
230,36
231,22
232,9
233,7
234,15
235,3
236,1
237,23
238,1
239,21
240,1
241,36
242,16
243,3
244,32
245,28
246,3
247,11
248,24
249,1
250,3
251,1
252,21
253,7
254,24
255,22
256,28
257,30
258,11
259,38
260,32
261,28
262,15
263,21
264,16
265,28
266,35
267,4
268,6
269,15
270,28
271,39
272,35
273,32
274,37
275,11
276,16
277,16
278,23
279,36
280,36
281,1
282,3
283,28
284,4
285,32
286,9
287,4
288,10
289,16
290,3
291,1
292,10
293,11
294,6
295,8
296,16
297,3
298,1
299,1
300,13
301,7
302,9
303,1
304,3
305,32
306,28
307,36
308,10
309,1
310,8
311,9
312,3
313,32
314,3
315,24
316,3
317,15
318,20
319,4
320,1
321,3
322,32
323,1
324,47
325,0
326,14
327,24
328,17
329,36
330,4
331,32
332,39
333,23
334,14
335,1
336,22
337,1
338,26
339,1
340,9
341,28
342,38
343,26
344,31
345,16
346,3
347,1
348,28
349,3
350,39
351,36
352,10
353,31
354,3
355,35
356,11
357,14
358,12
359,11
360,21
361,3
362,4
363,35
364,39
365,14
366,9
367,16
368,3
369,27
370,24
371,28
372,32
373,3
